1,Paul,Casey,paul.casey.1@gslingacademy.com,3,27,73,81,93,97
2,Danielle,Sandoval,danielle.sandoval.2@gslingacademy.com,2,47,90,86,96,100
3,Tina,Andrews,tina.andrews.3@gslingacademy.com,9,13,81,97,95,96
4,Tara,Clark,tara.clark.4@gslingacademy.com,5,3,71,74,88,80
5,Anthony,Campos,anthony.campos.5@gslingacademy.com,5,10,84,77,65,65
6,Kelly,Wade,kelly.wade.6@gslingacademy.com,2,26,93,100,67,78
7,Anthony,Smith,anthony.smith.7@gslingacademy.com,3,23,99,96,97,73
8,George,Short,george.short.8@gslingacademy.com,2,34,95,95,82,63
9,Stanley,Gutierrez,stanley.gutierrez.9@gslingacademy.com,6,25,94,68,94,85
10,Audrey,Simpson,audrey.simpson.10@gslingacademy.com,3,18,98,69,88,71
11,Gabrielle,White,gabrielle.white.11@gslingacademy.com,2,7,65,60,97,94
12,Clinton,Randolph,clinton.randolph.12@gslingacademy.com,1,7,80,61,100,65
13,Patricia,Gomez,patricia.gomez.13@gslingacademy.com,7,4,94,59,69,67
14,Pamela,Jackson,pamela.jackson.14@gslingacademy.com,10,2,66,94,86,100
15,Laura,Jackson,laura.jackson.15@gslingacademy.com,3,39,96,90,86,92
16,Roger,Wiley,roger.wiley.16@gslingacademy.com,6,0,94,50,78,64
17,Vicki,Thompson,vicki.thompson.17@gslingacademy.com,3,30,92,64,93,91
18,Maxwell,Davidson,maxwell.davidson.18@gslingacademy.com,2,28,86,83,85,79
19,Jonathan,Werner,jonathan.werner.19@gslingacademy.com,1,37,92,87,92,99
20,Angela,Rios,angela.rios.20@gslingacademy.com,2,27,99,65,98,75
21,Tim,Nichols,tim.nichols.21@gslingacademy.com,3,15,100,90,72,98
22,Kyle,Willis,kyle.willis.22@gslingacademy.com,8,4,57,55,78,94
23,Shannon,Simpson,shannon.simpson.23@gslingacademy.com,9,2,89,72,68,72
24,Sean,Griffin,sean.griffin.24@gslingacademy.com,9,1,50,76,81,55
25,Cassandra,West,cassandra.west.25@gslingacademy.com,4,35,87,91,90,88
26,Patricia,Chavez,patricia.chavez.26@gslingacademy.com,5,22,92,86,87,81
27,Jason,Williams,jason.williams.27@gslingacademy.com,3,34,100,77,80,94
28,Peter,Gibbs,peter.gibbs.28@gslingacademy.com,0,23,64,75,93,79
29,Jeffrey,Blanchard,jeffrey.blanchard.29@gslingacademy.com,1,17,79,65,99,71
30,Carol,Hill,carol.hill.30@gslingacademy.com,3,19,82,100,61,97
31,Angie,Miller,angie.miller.31@gslingacademy.com,0,14,88,69,87,100
32,Cynthia,Knapp,cynthia.knapp.32@gslingacademy.com,4,30,70,68,92,74
33,Timothy,Bryant,timothy.bryant.33@gslingacademy.com,4,30,77,96,98,89
34,Phyllis,Diaz,phyllis.diaz.34@gslingacademy.com,1,24,99,84,84,78
35,Lisa,Burns,lisa.burns.35@gslingacademy.com,3,31,90,93,91,80
36,Kelly,Farley,kelly.farley.36@gslingacademy.com,1,21,65,70,78,98
37,Ryan,Lee,ryan.lee.37@gslingacademy.com,2,19,99,94,87,71
38,Michael,Gilmore,michael.gilmore.38@gslingacademy.com,1,29,92,100,85,89
39,Miguel,Martinez,miguel.martinez.39@gslingacademy.com,4,21,77,64,64,88
40,Christopher,Taylor,christopher.taylor.40@gslingacademy.com,4,18,92,60,66,87
41,Emily,Holloway,emily.holloway.41@gslingacademy.com,4,31,85,97,64,90
42,Jesus,Rasmussen,jesus.rasmussen.42@gslingacademy.com,7,4,65,55,66,50
43,Lauren,Farmer,lauren.farmer.43@gslingacademy.com,6,3,93,94,92,77
44,Pamela,Cole,pamela.cole.44@gslingacademy.com,4,3,97,99,85,96
45,David,Gillespie,david.gillespie.45@gslingacademy.com,4,3,54,99,79,57
46,Kenneth,Davis,kenneth.davis.46@gslingacademy.com,5,5,88,53,50,58
47,Elizabeth,Martin,elizabeth.martin.47@gslingacademy.com,5,27,71,85,93,68
48,Billy,Soto,billy.soto.48@gslingacademy.com,0,28,81,98,74,70
49,Kimberly,Kelly,kimberly.kelly.49@gslingacademy.com,4,32,80,78,86,80
50,Sonia,Noble,sonia.noble.50@gslingacademy.com,0,14,100,89,90,93
51,Christopher,Stewart,christopher.stewart.51@gslingacademy.com,6,16,76,72,96,65
52,Sandra,Thornton,sandra.thornton.52@gslingacademy.com,2,24,99,81,73,70
53,Luke,Shannon,luke.shannon.53@gslingacademy.com,9,0,64,70,61,81
54,Lindsay,Pruitt,lindsay.pruitt.54@gslingacademy.com,3,32,90,96,86,61
55,Jamie,Taylor,jamie.taylor.55@gslingacademy.com,2,3,85,100,92,68
56,Jennifer,Murphy,jennifer.murphy.56@gslingacademy.com,6,31,91,60,84,88
57,Melissa,Lee,melissa.lee.57@gslingacademy.com,3,21,95,72,79,86
58,David,Vaughn,david.vaughn.58@gslingacademy.com,2,18,94,78,73,97
59,Jacob,Hanson,jacob.hanson.59@gslingacademy.com,7,26,94,89,64,96
60,Casey,May,casey.may.60@gslingacademy.com,4,23,89,99,90,79
61,Michelle,Roman,michelle.roman.61@gslingacademy.com,2,1,91,81,88,71
62,Brittany,Koch,brittany.koch.62@gslingacademy.com,5,33,83,86,61,99
63,Brian,Lewis,brian.lewis.63@gslingacademy.com,7,2,98,65,53,64
64,Veronica,Cameron,veronica.cameron.64@gslingacademy.com,1,34,83,97,65,88
65,Eric,Reyes,eric.reyes.65@gslingacademy.com,2,18,91,73,99,70
66,Kristy,Weber,kristy.weber.66@gslingacademy.com,6,2,90,54,77,74
67,Anthony,Smith,anthony.smith.67@gslingacademy.com,3,27,92,86,66,69
68,Steven,Stephens,steven.stephens.68@gslingacademy.com,2,8,64,64,73,76
69,Henry,Davis,henry.davis.69@gslingacademy.com,4,14,90,70,85,60
70,Raymond,Shea,raymond.shea.70@gslingacademy.com,10,22,99,81,96,69
71,Jill,Perez,jill.perez.71@gslingacademy.com,1,15,89,66,93,81
72,Kimberly,Bonilla,kimberly.bonilla.72@gslingacademy.com,3,22,62,87,93,83
73,Louis,Edwards,louis.edwards.73@gslingacademy.com,10,1,61,70,69,64
74,Michael,Hodge,michael.hodge.74@gslingacademy.com,8,3,51,54,66,87
75,Anna,Li,anna.li.75@gslingacademy.com,2,20,85,100,64,68
76,Andrea,Case,andrea.case.76@gslingacademy.com,7,27,99,90,96,92
77,Jennifer,Garcia,jennifer.garcia.77@gslingacademy.com,3,24,87,63,60,90
78,Rhonda,Davenport,rhonda.davenport.78@gslingacademy.com,1,5,75,91,80,93
79,Chelsea,Craig,chelsea.craig.79@gslingacademy.com,7,34,88,94,80,63
80,Shawn,Chase,shawn.chase.80@gslingacademy.com,3,16,87,79,89,68
81,Elizabeth,Calhoun,elizabeth.calhoun.81@gslingacademy.com,3,3,87,67,94,92
82,Lisa,Harris,lisa.harris.82@gslingacademy.com,1,15,76,67,83,85
83,Carol,Snyder,carol.snyder.83@gslingacademy.com,7,11,60,80,61,63
84,Charles,Butler,charles.butler.84@gslingacademy.com,7,32,85,65,99,100
85,James,Dawson,james.dawson.85@gslingacademy.com,3,28,73,67,70,71
86,Dennis,Kim,dennis.kim.86@gslingacademy.com,1,24,85,71,69,80
87,Jennifer,Berry,jennifer.berry.87@gslingacademy.com,2,9,91,76,71,72
88,Yvette,Bridges,yvette.bridges.88@gslingacademy.com,3,14,99,95,83,89
89,Robert,Atkins,robert.atkins.89@gslingacademy.com,3,16,93,96,68,87
90,William,Brown,william.brown.90@gslingacademy.com,3,29,89,75,60,80
91,Patrick,Parker,patrick.parker.91@gslingacademy.com,0,14,95,78,95,73
92,James,Santiago,james.santiago.92@gslingacademy.com,4,10,68,82,95,63
93,Robert,Parsons,robert.parsons.93@gslingacademy.com,5,31,98,73,73,77
94,Jacob,Brown,jacob.brown.94@gslingacademy.com,4,34,79,92,79,76
95,Natalie,Robinson,natalie.robinson.95@gslingacademy.com,5,3,78,79,73,96
96,Victoria,Jones,victoria.jones.96@gslingacademy.com,2,34,100,98,89,85
97,Natasha,Hansen,natasha.hansen.97@gslingacademy.com,3,2,86,76,84,93
98,Thomas,White,thomas.white.98@gslingacademy.com,3,4,87,89,93,98
99,Derrick,Figueroa,derrick.figueroa.99@gslingacademy.com,0,28,100,93,85,61
100,Kimberly,Ward,kimberly.ward.100@gslingacademy.com,0,5,85,89,94,69
101,Rhonda,Jones,rhonda.jones.101@gslingacademy.com,2,4,87,73,98,91
102,Abigail,Perez,abigail.perez.102@gslingacademy.com,2,25,96,80,100,61
103,James,Yang,james.yang.103@gslingacademy.com,5,29,76,87,64,74
104,Stephen,Patton,stephen.patton.104@gslingacademy.com,6,1,90,80,63,94
105,Emma,Wright,emma.wright.105@gslingacademy.com,7,2,65,60,100,91
106,Cynthia,Brown,cynthia.brown.106@gslingacademy.com,2,0,98,97,62,89
107,Erin,Kelley,erin.kelley.107@gslingacademy.com,3,16,91,80,97,89
108,Benjamin,Morse,benjamin.morse.108@gslingacademy.com,3,31,86,81,83,81
109,Alexandra,Gibson,alexandra.gibson.109@gslingacademy.com,1,4,91,93,72,61
110,Phillip,Allen,phillip.allen.110@gslingacademy.com,5,13,78,69,82,60
111,Joshua,Gonzalez,joshua.gonzalez.111@gslingacademy.com,4,24,76,89,89,83
112,Erin,Jones,erin.jones.112@gslingacademy.com,9,2,82,54,85,57
113,Charles,Hayes,charles.hayes.113@gslingacademy.com,2,4,45,85,94,76
114,Kelsey,Brown,kelsey.brown.114@gslingacademy.com,1,22,92,75,65,97
115,Robert,Turner,robert.turner.115@gslingacademy.com,6,0,43,65,91,75
116,Robert,Hill,robert.hill.116@gslingacademy.com,2,24,96,66,69,65
117,Alyssa,Ritter,alyssa.ritter.117@gslingacademy.com,6,1,78,71,50,55
118,Beth,Bell,beth.bell.118@gslingacademy.com,1,19,68,96,64,70
119,Andrew,Dixon,andrew.dixon.119@gslingacademy.com,1,19,93,73,94,65
120,Crystal,Walker,crystal.walker.120@gslingacademy.com,6,5,55,93,67,74
121,Jordan,Bennett,jordan.bennett.121@gslingacademy.com,0,13,66,90,83,80
122,Antonio,Caldwell,antonio.caldwell.122@gslingacademy.com,4,26,98,92,91,99
123,Jacob,Reyes,jacob.reyes.123@gslingacademy.com,4,41,94,94,94,89
124,Wendy,Lewis,wendy.lewis.124@gslingacademy.com,3,47,96,100,96,91
125,Jennifer,Miller,jennifer.miller.125@gslingacademy.com,2,9,69,62,82,89
126,Lisa,Ware,lisa.ware.126@gslingacademy.com,4,7,77,95,98,69
127,Brian,Lee,brian.lee.127@gslingacademy.com,1,3,89,67,86,87
128,Mario,Taylor,mario.taylor.128@gslingacademy.com,4,14,96,67,80,83
129,Amanda,Williamson,amanda.williamson.129@gslingacademy.com,4,26,82,70,80,70
130,Michael,Miller,michael.miller.130@gslingacademy.com,6,27,99,97,64,90
131,Amanda,Vasquez,amanda.vasquez.131@gslingacademy.com,5,25,96,73,90,85
132,Chelsea,Obrien,chelsea.obrien.132@gslingacademy.com,4,16,95,82,66,63
133,Tina,Perkins,tina.perkins.133@gslingacademy.com,4,27,90,63,69,80
