employee_id,first_name,last_name,department_id,salary
1,John,Doe,1,100000.0
2,Jane,Smith,2,90000.0
3,Alice,Johnson,3,95000.0
4,Bob,Brown,1,110000.0
5,Charlie,Davis,3,105000.0
6,Michael,Williams,2,53036.45
7,David,Jones,3,73222.94
8,Susan,Miller,1,53186.74
9,Linda,Davis,2,55786.33
10,Karen,Clark,3,66957.77
11,Mark,Thompson,1,50316.14
12,Mary,White,2,58867.07
13,James,Anderson,3,90452.64
14,Robert,Jackson,1,57284.14
15,William,Harris,2,92508.88
16,Laura,Martin,3,63690.68
17,Lisa,Moore,1,50772.13
18,Kim,Taylor,2,61275.25
19,Brian,Thomas,3,58443.09
20,Chris,Young,1,92705.13
21,Judy,Allen,2,64964.61
22,Eric,Scott,3,88118.08
23,Steven,Adams,1,59079.71
24,Jason,Carter,2,77629.11
25,Daniel,Hill,3,97086.71
26,Michelle,King,1,78792.08
27,Carol,Hall,2,55836.67
28,Donald,Morris,3,78440.48
29,Kathy,Perez,1,86964.29
30,Deborah,Rogers,2,66029.68
31,Jeremy,Bell,3,52702.06
32,Catherine,Cook,1,54375.58
33,Richard,Ward,2,63725.51
34,Joseph,Bailey,3,55374.02
35,Janet,Murphy,1,97514.92
36,Sara,Russell,2,61178.96
37,Patrick,Watson,3,68780.07
38,Amy,Gomez,1,78657.95
39,Joshua,Kelly,2,67488.99
40,Brenda,Howard,3,67647.44
